ID_OBRA,PROYECTO,TRAMO,PK_INICIAL,PK_FINAL,ESTADO,MUNICIPIO,LOCALIDAD,LAT_INI,LON_INI,LAT_FIN,LON_FIN,ENTE_RESPONSABLE,TIPO_ACTIVO,TIPO_OBRA,DESCRIPCION,MONTO_MDP,CRITICIDAD,RIESGO,RESPONSABLE,FECHA,OBSERVACIONES,UTM_INI_ESTE,UTM_INI_NORTE,UTM_FIN_ESTE,UTM_FIN_NORTE,ZONA_UTM,OBS_COORDENADAS,ESTATUS
QI-T02-CMEM-00-V03-CTL-OI__EMT-0024-A00,Media Tension,Tramo II,54+495,54+495,Guanajuato,Cortazar,Cortazar,20.515612,-100.909051,20.515612,-100.909051,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,04/02/2026,"Se realiza recorrido CFE, SE y MEM, para revision tecnica de la interferencia",300933.58,2269703.17,300933.58,2269703.17,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__EMT-0025-A00,Media Tension,Tramo II,55+700,55+700,Guanajuato,Cortazar,Cortazar,20.514804,-100.920703,20.514804,-100.920703,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,04/02/2026,"Se realiza recorrido CFE, SE y MEM, para revision tecnica de la interferencia",299717.17,2269627.95,299717.17,2269627.95,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__TLA-0017-A00,Telecomunicaciones,Tramo II,55+700,55+700,Guanajuato,Cortazar,Cortazar,20.514804,-100.920703,20.514804,-100.920703,Telmex,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Telmex y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,20/02/2026,"Se reunen SE, Telmex, MEM, para identificacion de su Infraestructura",299717.17,2269627.95,299717.17,2269627.95,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__GAS-0007-A00,Gasoducto,Tramo II,56+500,59+700,Guanajuato,Cortazar,Cortazar,20.514517,-100.927225,20.512309,-100.961158,CRYOINFRA,Gasoducto,Proteccion por definir con Cryoinfra,Interferencia detectada entre linea de oxiducto existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,MEDIO,Ing. Luis Hernandez,29/01/2026,Se realiza cala de exploracion en oxiducto,299036.51,2269604.19,295494.14,2269401.83,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__EMT-0026-A00,Media Tension,Tramo II,56+780,56+780,Guanajuato,Cortazar,Cortazar,20.514092,-100.930945,20.514092,-100.930945,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,04/02/2026,"Se realiza recorrido CFE, SE y MEM, para revision tecnica de la interferencia",298647.94,2269561.71,298647.94,2269561.71,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__TLA-0018-A00,Telecomunicaciones,Tramo II,56+790,56+790,Guanajuato,Cortazar,Cortazar,20.514092,-100.930945,20.514092,-100.930945,Telmex,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Telmex y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,20/02/2026,"Se reunen SE, Telmex, MEM, para identificacion de su Infraestructura",298647.94,2269561.71,298647.94,2269561.71,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__GAS-0008-A00,Gasoducto,Tramo II,57+680,57+680,Guanajuato,Cortazar,Cortazar,20.513502,-100.940037,20.513502,-100.940037,GAS NATURAL DEL NOROESTE,Gasoducto,Proteccion por definir con Gas Natural del Noroeste,Interferencia detectada entre linea de gasoducto existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",SI,ALTO,Ing. Luis Hernandez,23/01/2026,Se realiza cala de exploracion en gasoducto,297698.81,2269507.62,297698.81,2269507.62,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__GAS-0009-A00,Gasoducto,Tramo II,57+950,58+650,Guanajuato,Cortazar,Cortazar,20.513355,-100.942208,20.512837,-100.94895,CENAGAS,Gasoducto,Proteccion por definir con CENAGAS,Interferencia detectada entre linea de gasoducto existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",SI,ALTO,Ing. Luis Hernandez,25/11/2025,Se envia oficio a CENAGAS para revision tecnica de la interferencia,297472.16,2269494.04,296768.24,2269445.06,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__EAT-0006-A00,Alta Tension,Tramo II,57+950,58+650,Guanajuato,Villagran,Villagran,20.51379,-100.94093,20.512806,-100.947411,CFE,Linea electrica Alta Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de alta tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",SI,MEDIO,Ing. Luis Hernandez,25/02/2026,Se entrega oficio a CFE para revision tecnica de la interferencia.,297606.04,2269540.61,296928.73,2269439.71,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__EAT-0007-A00,Alta Tension,Tramo II,58+650,59+245,Guanajuato,Villagran,Villagran,20.512806,-100.947411,20.512263,-100.95302,CFE,Linea electrica Alta Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de alta tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",SI,MEDIO,Ing. Luis Hernandez,25/02/2026,Se entrega oficio a CFE para revision tecnica de la interferencia.,296928.73,2269439.71,296342.94,2269386.57,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__GAS-0010-A00,Gasoducto,Tramo II,58+650,58+650,Guanajuato,Cortazar,Cortazar,20.512838,-100.949071,20.512838,-100.949071,CENAGAS,Gasoducto,Proteccion por definir con CENAGAS,Interferencia detectada entre linea de gasoducto existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,MEDIO,Ing. Luis Hernandez,25/11/2025,Se envia oficio a CENAGAS para revision tecnica de la interferencia,296755.62,2269445.32,296755.62,2269445.32,14,,CONCLUIDA
QI-T02-CMEM-00-V03-CTL-OI__TLA-0019-A00,Telecomunicaciones,Tramo II,59+410,59+410,Guanajuato,Cortazar,Cortazar,20.512337,-100.956111,20.512337,-100.956111,Telmex,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Telmex y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,20/02/2026,"Se reunen SE, Telmex, MEM, para identificacion de su Infraestructura",296020.62,2269398.62,296020.62,2269398.62,14,,GESTIÓN / EJECUCIÓN
QI-T02-CMEM-00-V03-CTL-OI__EMT-0027-A00,Media Tension,Tramo II,59+480,59+480,Guanajuato,Cortazar,Cortazar,20.512325,-100.956757,20.512325,-100.956757,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,04/02/2026,"Se realiza recorrido CFE, SE y MEM, para revision tecnica de la interferencia",295953.22,2269398.1,295953.22,2269398.1,14,,IDENTIFICADA
QI-T02-CMEM-00-V03-CTL-OI__EMT-0028-A00,Media Tension,Tramo II,59+980,59+980,Guanajuato,Villagran,Villagran,20.511989,-100.961263,20.511989,-100.961263,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,04/02/2026,"Se realiza recorrido CFE, SE y MEM, para revision tecnica de la interferencia",295482.76,2269366.53,295482.76,2269366.53,14,,IDENTIFICADA
QI-T02-CMEM-00-V03-CTL-OI__GAS-0011-A00,Gasoducto,Tramo II,60+100,60+100,Guanajuato,Villagran,Villagran,20.511887,-100.962659,20.511887,-100.962659,GNP,Gasoducto,Proteccion por definir con Gas Natural Potosino,Interferencia detectada entre linea de gasoducto existente y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,MEDIO,Ing. Luis Hernandez,02/03/2026,Se envia carta de responsabilidad civil solicitada por el operador para programacion de cala de exploracion,295337.01,2269356.99,295337.01,2269356.99,14,,IDENTIFICADA
QI-T02-CMEM-00-V03-CTL-OI__EMT-0029-A00,Media Tension,Tramo II,60+670,60+670,Guanajuato,Villagran,Villagran,20.511555,-100.968156,20.511555,-100.968156,CFE,Linea electrica Media Tension,Proteccion / reubicacion por definir con CFE.,Interferencia detectada entre linea de media tension existente y el trazo ferroviario.,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,04/02/2026,"Se realiza recorrido CFE, SE y MEM, para revision tecnica de la interferencia",294763.18,2269327.13,294763.18,2269327.13,14,,IDENTIFICADA
QI-T02-CMEM-00-V03-CTL-OI__TLA-0020-A00,Telecomunicaciones,Tramo II,60+680,60+680,Guanajuato,Villagran,Villagran,20.511479,-100.968282,20.511479,-100.968282,Telmex,Telecomunicaciones,Reubicacion por definir con operador.,Interferencia detectada entre linea de fibra optica de Telmex y trazo ferroviario,"Por definir, sujeto a ingenieria y autorizacion del operador.",NO,BAJO,Ing. Luis Hernandez,20/02/2026,"Se reunen SE, Telmex, MEM, para identificacion de su Infraestructura",294749.93,2269318.87,294749.93,2269318.87,14,,IDENTIFICADA
